1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
1387.50,1115.56,    0,    1,2
