1418.32,1222.98,    0, 2295,2
1417.85,1257.43,    0, 1233,2
1414.71,1179.58,    0, 1489,2
1448.89,1247.39,    0, 1552,2
1465.69,1237.71,    0, 1520,2
1448.57,1237.51,    0, 1493,2
1438.46,1267.38,    0,  584,2
1405.61,1178.35,    0, 1210,2
1482.20,1225.35,    0, 1131,2
1418.32,1222.98,    0, 2634,2
1418.32,1222.98,    0, 2334,2
1394.14,1249.81,    0, 1050,2
1397.55,1252.85,    0, 1112,2
1418.32,1222.98,    0, 1748,2
1470.10,1221.60,    0, 1144,2
1448.03,1248.12,    0, 1271,2
1450.27,1252.72,    0, 1282,2
1474.27,1228.88,    0, 1535,2
1427.42,1230.10,    0, 2350,1
1418.32,1222.98,    0, 2173,2
1472.78,1231.64,    0, 1571,2
1459.52,1178.26,    0, 1882,2
1403.82,1198.06,    0, 2258,2
1395.59,1248.60,    0, 1168,2
1416.16,1213.50,    0, 2693,2
1418.32,1222.98,    0, 1942,2
1418.32,1222.98,    0, 2225,2
1464.55,1229.73,    0, 1459,2
1440.28,1206.45,    0, 2272,2
1451.61,1244.01,    0, 1407,2
1466.21,1239.06,    0, 1185,2
1429.54,1264.06,    0, 1147,2
1434.35,1264.33,    0, 1426,2
1418.32,1222.98,    0, 1725,2
1400.42,1255.65,    0, 1212,2
1441.32,1197.51,    0, 2140,2
1419.39,1263.65,    0, 1030,2
1418.32,1222.98,    0, 1835,2
1425.64,1213.60,    0, 2452,2
1462.72,1231.23,    0, 2020,2
1403.64,1211.50,    0, 1912,2
1439.99,1258.50,    0, 1108,2
1407.13,1215.92,    0, 2217,2
1454.92,1231.61,    0, 2404,2
1429.72,1204.23,    0, 2031,2
1441.78,1196.88,    0, 2008,2
1393.47,1210.57,    0, 2148,2
1404.16,1229.25,    0, 1702,1
1446.49,1221.99,    0, 1731,2
1451.60,1204.49,    0, 1696,2
1403.31,1181.01,    0,  934,2
1471.80,1198.32,    0, 1525,2
1435.06,1236.02,    0, 1905,2
1425.82,1205.42,    0, 2253,2
1418.32,1222.98,    0, 2105,2
1417.44,1257.47,    0, 1301,2
1442.52,1221.50,    0, 2286,2
1473.29,1222.92,    0, 1504,2
1397.89,1253.15,    0, 1012,2
1391.05,1226.55,    0, 1481,1
1473.42,1209.25,    0, 1680,2
1436.81,1205.04,    0, 1959,2
1442.48,1212.99,    0, 2436,2
1418.32,1222.98,    0, 2277,2
1433.23,1255.43,    0, 1273,2
1418.32,1222.98,    0, 2652,2
1436.89,1256.19,    0, 1215,2
1478.90,1235.62,    0,  883,2
1440.37,1265.28,    0, 1076,2
1432.67,1165.92,    0, 1098,2
1409.56,1260.71,    0,  956,2
1442.78,1192.13,    0, 1942,2
1461.09,1208.46,    0, 1266,2
1390.27,1245.51,    0, 1168,2
1447.69,1251.62,    0, 1433,2
1468.71,1221.61,    0, 1529,2
1418.32,1222.98,    0, 1912,2
1471.82,1241.57,    0, 1149,2
1467.19,1180.41,    0, 1767,2
1418.32,1222.98,    0, 2182,2
1418.32,1222.98,    0, 2124,2
1418.32,1222.98,    0, 2159,2
1432.86,1181.99,    0, 2475,2
1448.45,1252.16,    0, 1167,2
1445.40,1260.61,    0, 1154,2
1439.60,1253.45,    0, 1390,2
1418.32,1222.98,    0, 2138,2
1427.16,1266.64,    0, 1131,2
1454.96,1249.78,    0, 1980,2
