1917.40,1633.50,    0, 2741
1894.61,1671.28,    0, 2916
1849.27,1637.43,    0, 4731
1861.14,1591.38,    0, 1952
1897.71,1647.53,    0, 3293
1885.78,1667.58,    0, 4218
1849.94,1647.01,    0, 2438
1879.06,1685.46,    0, 1554
1847.05,1603.61,    0,  598
1893.82,1624.89,    0, 3298
1840.10,1619.71,    0, 1518
1861.20,1611.86,    0, 2544
1843.44,1607.51,    0,  182
1851.18,1612.51,    0, 1582
1850.25,1654.52,    0, 3140
1882.30,1673.14,    0, 2066
1887.15,1676.51, 2663, 1039
1909.12,1668.74,    0, 2322
1849.18,1597.52,    0, 1210
1889.77,1677.06,    0, 1020
1906.43,1660.20,    0,  467
1898.61,1628.43,    0, 1273
1892.29,1678.81,    0,  145
1894.08,1657.61,    0, 1272
1905.66,1629.32,    0, 2897
1887.55,1612.57,    0, 1414
1911.08,1660.36,    0,  795
1885.41,1684.68,    0,    0
1917.79,1656.87,    0,  222
1894.04,1676.06,    0,  285
1863.50,1637.91,    0, 4603
1881.83,1637.85,    0, 3477
1895.26,1670.83,    0, 1269
1898.48,1646.73,    0, 1515
